"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","128243X284X3760qi3qu1sq1","128243X284X3760qi3qu1sq2","128243X284X3763qi3qu4sq1","128243X284X3763qi3qu4sq2","128243X284X3766qi3qu7sq1","128243X284X3766qi3qu7sq2","128243X284X3769qi3qu10sq1","128243X284X3769qi3qu10sq2","128243X284X3772qi3qu13sq1","128243X284X3772qi3qu13sq2","128243X284X3775qi3qu16sq1","128243X284X3775qi3qu16sq2","128243X284X3778qi3qu19sq1","128243X284X3778qi3qu19sq2","128243X284X3781qi3qu22sq1","128243X284X3781qi3qu22sq2","128243X285X3784qi3qu25sq1","128243X285X3786qi3qu27sq1","128243X285X3788qi3qu29sq1","128243X285X3790qi3qu31sq1","128243X286X3792","128243X286X3793"
"1",NULL,"2020-02-04 19:39:29","14","hr","2145626730","2020-02-04 19:32:51","2020-02-04 19:39:29","188.124.196.250","A3","A1","A1","A2","A2","A1","A3","A2","A3","A2","A2","A1","A3","A1","A1","A3","A1","A2","A1","A2","A2","A3"
"2",NULL,"2020-02-04 19:39:11","14","hr","907772243","2020-02-04 19:33:22","2020-02-04 19:39:11","31.223.153.9","A1","A3","A2","A1","A2","A3","A1","A2","A1","A2","A3","A1","A2","A1","A1","A2","A1","A1","A1","A2","A2","A3"
"3",NULL,"2020-02-04 20:49:07","14","hr","810731163","2020-02-04 20:44:55","2020-02-04 20:49:07","185.7.53.78","A1","A2","A1","A2","A2","A3","A3","A1","A3","A1","A3","A2","A3","A2","A3","A1","A1","A2","A1","A1","A1","A3"
"4",NULL,"2020-02-04 22:17:55","14","hr","1818996934","2020-02-04 22:14:43","2020-02-04 22:17:55","31.223.144.179","A3","A2","A3","A1","A2","A1","A3","A1","A1","A3","A3","A1","A3","A2","A1","A3","A1","A2","A1","A2","A2","A2"
"5",NULL,"2020-02-04 23:16:20","14","hr","752887592","2020-02-04 23:11:39","2020-02-04 23:16:20","109.175.104.130","A3","A2","A2","A3","A2","A1","A3","A2","A1","A2","A2","A1","A3","A1","A1","A3","A2","A2","A1","A1","A2","A3"
"6",NULL,NULL,"5","hr","1516961134","2020-02-05 02:00:40","2020-02-05 02:04:45","77.216.196.223","A1","A3","A2","A1","A2","A1","A1","A3","A1","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7",NULL,NULL,"2","hr","387691423","2020-02-05 10:37:34","2020-02-05 10:39:16","161.53.104.30","A1","A2","A2","A3","A3",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8",NULL,"2020-02-05 11:59:46","14","hr","1441650819","2020-02-05 11:53:23","2020-02-05 11:59:46","109.163.168.79","A1","A2","A1","A2","A1","A3","A2","A1","A2","A1","A3","A1","A3","A1","A3","A2","A1","A1","A1","A1","A2","A2"
"9",NULL,"2020-02-05 12:38:35","14","hr","471903721","2020-02-05 12:35:28","2020-02-05 12:38:35","193.14.244.48","A1","A3","A1","A2","A2","A1","A3","A1","A3","A2","A2","A1","A1","A3","A2","A3","A1","A2","A1","A2","A1","A3"
"10",NULL,"2020-02-05 16:39:31","14","hr","520689940","2020-02-05 16:34:36","2020-02-05 16:39:31","94.250.82.112","A3","A2","A1","A2","A2","A1","A2","A1","A2","A1","A3","A1","A1","A2","A1","A2","A1","A2","A1","A2","A2","A3"
"11",NULL,"2020-02-05 17:55:55","14","hr","486707189","2020-02-05 17:53:15","2020-02-05 17:55:55","178.77.17.31","A1","A2","A2","A1","A1","A2","A3","A1","A2","A3","A1","A2","A3","A2","A3","A1","A1","A2","A1","A2","A2","A2"
"12",NULL,NULL,"3","hr","202596146","2020-02-05 20:47:01","2020-02-05 20:47:51","193.217.221.112","A2","A3","A1","A3","A2","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13",NULL,NULL,"0","hr","1526228766","2020-02-05 21:59:35","2020-02-05 22:00:49","77.78.216.174","A1",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14",NULL,"2020-02-06 01:34:15","14","hr","194919363","2020-02-06 01:29:35","2020-02-06 01:34:15","217.197.143.64","A1","A3","A3","A1","A2","A3","A1","A2","A1","A3","A3","A1","A1","A3","A1","A3","A1","A2","A1","A2","A2","A3"
"15",NULL,NULL,NULL,"hr","516324200","2020-02-06 10:01:12","2020-02-06 10:01:12","95.91.232.214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16",NULL,"2020-02-06 13:22:26","14","hr","1043677664","2020-02-06 13:17:11","2020-02-06 13:22:26","109.163.167.132","A2","A3","A3","A2","A3","A2","A2","A3","A1","A3","A3","A1","A1","A3","A2","A3","A1","A2","A1","A1","A2","A3"
"17",NULL,"2020-02-06 14:36:54","14","hr","1302739763","2020-02-06 14:33:41","2020-02-06 14:36:54","92.36.132.92","A3","A2","A2","A1","A1","A3","A3","A1","A1","A3","A1","A2","A3","A1","A2","A1","A1","A2","A1","A2","A2","A3"
"18",NULL,NULL,"1","hr","1417369030","2020-02-06 18:37:58","2020-02-06 18:38:37","212.92.209.25","A2","A3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19",NULL,"2020-02-06 22:34:00","14","hr","1055022805","2020-02-06 22:31:03","2020-02-06 22:34:00","109.175.104.243","A1","A3","A3","A2","A2","A1","A3","A1","A1","A2","A3","A1","A2","A3","A2","A3","A1","A2","A1","A2","A2","A3"
"20",NULL,"2020-02-07 00:56:32","14","hr","53896681","2020-02-07 00:52:58","2020-02-07 00:56:32","188.252.197.110","A1","A3","A2","A1","A2","A1","A3","A1","A1","A3","A3","A2","A1","A3","A2","A3","A1","A2","A1","A1","A1","A3"
"21",NULL,"2020-02-07 08:19:19","14","hr","653211970","2020-02-07 08:17:03","2020-02-07 08:19:19","193.14.246.93","A1","A3","A1","A2","A3","A1","A2","A3","A3","A2","A3","A1","A1","A3","A1","A3","A1","A2","A1","A2","A1","A2"
"22",NULL,"2020-02-07 08:58:52","14","hr","390158787","2020-02-07 08:50:00","2020-02-07 08:58:52","185.12.169.211","A1","A2","A3","A1","A2","A1","A2","A1","A1","A2","A3","A2","A1","A2","A2","A1","A1","A1","A1","A1","A2","A3"
"23",NULL,"2020-02-07 09:39:32","14","hr","367829406","2020-02-07 09:35:46","2020-02-07 09:39:32","185.32.175.154","A3","A2","A3","A1","A2","A1","A3","A1","A1","A3","A3","A1","A1","A2","A2","A3","A1","A1","A1","A1","A2","A2"
"24",NULL,"2020-02-08 06:42:06","14","hr","578642424","2020-02-08 06:35:38","2020-02-08 06:42:06","185.18.60.131","A2","A3","A3","A2","A3","A2","A3","A2","A2","A3","A3","A2","A1","A2","A2","A3","A1","A1","A1","A1","A1","A3"
"25",NULL,"2020-02-09 10:23:14","14","hr","1915036092","2020-02-09 10:18:44","2020-02-09 10:23:14","78.1.45.98","A2","A3","A1","A3","A2","A1","A2","A1","A3","A2","A2","A3","A2","A3","A1","A3","A1","A1","A1","A1","A1","A2"
"26",NULL,NULL,"7","hr","117313755","2020-02-09 21:32:05","2020-02-09 21:34:52","31.223.140.253","A1","A2","A3","A1","A2","A3","A3","A2","A1","A3","A3","A2","A3","A2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"27",NULL,NULL,"0","hr","1067578583","2020-02-09 22:58:36","2020-02-09 22:59:46","82.118.15.198","A1",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28",NULL,"2020-02-10 01:22:12","14","hr","2020647508","2020-02-10 01:18:33","2020-02-10 01:22:12","31.45.226.227","A1","A3","A2","A1","A1","A3","A3","A1","A3","A2","A1","A2","A2","A3","A3","A1","A1","A1","A1","A1","A1","A2"
"29",NULL,NULL,"4","hr","167274995","2020-02-10 07:54:41","2020-02-10 07:58:16","178.236.95.157","A1","A2","A3","A2","A2","A1","A2","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"30",NULL,"2020-02-10 11:27:01","14","hr","1293129467","2020-02-10 11:23:39","2020-02-10 11:27:01","31.217.12.158","A3","A2","A3","A1","A3","A1","A3","A1","A2","A3","A3","A1","A3","A2","A2","A3","A1","A2","A1","A2","A1","A2"
"31",NULL,NULL,"0","hr","1271576534","2020-02-10 11:56:52","2020-02-10 11:58:32","82.118.15.198","A3",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"32",NULL,"2020-02-10 12:48:34","14","hr","460879783","2020-02-10 12:44:29","2020-02-10 12:48:34","93.139.188.104","A2","A3","A3","A2","A2","A1","A3","A2","A3","A2","A2","A1","A2","A1","A2","A3","A1","A2","A1","A1","A1","A2"
"33",NULL,NULL,NULL,"hr","1655599924","2020-02-11 06:37:13","2020-02-11 06:37:13","93.137.196.224",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34",NULL,NULL,"3","hr","877041422","2020-02-11 11:12:46","2020-02-11 11:13:44","141.138.27.27","A3","A1","A1","A3","A2","A1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35",NULL,NULL,"0","hr","1390800153","2020-02-12 20:33:34","2020-02-12 20:33:58","88.117.24.209",,"A2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36",NULL,"2020-02-12 22:04:19","14","hr","1746493070","2020-02-12 21:59:55","2020-02-12 22:04:19","46.161.108.1","A2","A1","A3","A1","A2","A3","A2","A1","A1","A3","A1","A2","A2","A1","A2","A1","A1","A2","A1","A1","A3","A3"
