"id","token","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","166351X247X3356qi1qu1sq1","166351X247X3356qi1qu1sq2","166351X247X3359qi1qu4sq1","166351X247X3359qi1qu4sq2","166351X247X3362qi1qu7sq1","166351X247X3362qi1qu7sq2","166351X247X3365qi1qu10sq1","166351X247X3365qi1qu10sq2","166351X247X3368qi1qu13sq1","166351X247X3368qi1qu13sq2","166351X247X3371qi1qu16sq1","166351X247X3371qi1qu16sq2","166351X247X3374qi1qu19sq1","166351X247X3374qi1qu19sq2","166351X247X3377qi1qu22sq1","166351X247X3377qi1qu22sq2","166351X248X3380qi1qu25sq1","166351X248X3380qi1qu25sq2","166351X248X3380qi1qu25sq3","166351X248X3380qi1qu25sq4","166351X249X3385","166351X249X3386"
"1",NULL,"2020-01-30 19:46:59",NULL,"hr",NULL,"2020-01-30 19:46:59","2020-01-30 19:46:59",NULL,"A2","A3","A3","A2","A3","A1","A1","A3","A2","A3","A3","A1","A2","A3","A1","A3","A1","A1","A1","A1","A2","A2"
"2",NULL,"2020-01-30 19:47:00",NULL,"hr",NULL,"2020-01-30 19:47:00","2020-01-30 19:47:00",NULL,"A2","A3","A2","A3","A3","A1","A1","A3","A1","A3","A2","A1","A2","A1","A1","A3","A2","A1","A1","A2","A1","A2"
"3",NULL,"2020-01-30 19:47:00",NULL,"hr",NULL,"2020-01-30 19:47:00","2020-01-30 19:47:00",NULL,"A1","A3","A1","A3","A2","A3","A1","A2","A1","A2","A2","A1","A3","A1","A2","A3","A1","A1","A2","A1","A3","A2"
"4",NULL,"2020-01-30 19:47:01",NULL,"hr",NULL,"2020-01-30 19:47:01","2020-01-30 19:47:01",NULL,"A1","A3","A1","A3","A2","A1","A1","A3","A1","A3","A3","A1","A2","A1","A2","A3","A2","A1","A2","A2","A2","A1"
"5",NULL,"2020-01-30 19:47:02",NULL,"hr",NULL,"2020-01-30 19:47:02","2020-01-30 19:47:02",NULL,"A2","A3","A2","A3","A2","A1","A1","A2","A3","A2","A3","A1","A2","A1","A1","A3","A2","A1","A1","A2","A3","A1"
"6",NULL,"2020-01-30 19:47:02",NULL,"hr",NULL,"2020-01-30 19:47:02","2020-01-30 19:47:02",NULL,"A2","A3","A1","A3","A2","A1","A1","A3","A1","A3","A3","A1","A3","A1","A1","A3","A2","A2","A2","A2","A3","A2"
"7",NULL,"2020-01-30 19:47:03",NULL,"hr",NULL,"2020-01-30 19:47:03","2020-01-30 19:47:03",NULL,"A1","A3","A2","A3","A2","A1","A1","A3","A1","A3","A2","A1","A2","A1","A1","A3","A1","A1","A2","A1","A2","A1"
"8",NULL,"2020-01-30 19:47:04",NULL,"hr",NULL,"2020-01-30 19:47:04","2020-01-30 19:47:04",NULL,"A1","A2","A1","A2","A2","A1","A1","A3","A1","A2","A3","A1","A2","A1","A1","A3","A2","A1","A1","A1","A1","A3"
"9",NULL,"2020-01-30 19:47:05",NULL,"hr",NULL,"2020-01-30 19:47:05","2020-01-30 19:47:05",NULL,"A1","A3","A2","A3","A2","A1","A1","A2","A1","A3","A2","A1","A2","A1","A1","A3","A2","A2","A2","A2","A1","A3"
"10",NULL,"2020-01-30 19:47:06",NULL,"hr",NULL,"2020-01-30 19:47:06","2020-01-30 19:47:06",NULL,"A2","A3","A1","A3","A2","A1","A1","A2","A1","A3","A3","A1","A3","A1","A1","A3","A1","A1","A1","A2","A1","A3"
